Place,Time,Pace,GroupPlace,Group,Age,Sex,BIBNumber, FirstName, LasName, Town, State
248,'1:47:39','8:13',72,'40-49',45,'M',373,'BENTON', 'PUCCI', 'DARTMOUTH','MA'
249,'1:47:40','8:13',39,'20-39',39,'F',415,'GINA', 'MARKWARDT', 'W YARM','MA'
250,'1:47:41','8:13',40,'20-39',32,'F',397,'MARGIT', 'CHANDLER', 'GREENWICH','RI'
251,'1:47:43','8:13',41,'20-39',39,'F',488,'NOVA', 'LENHARD', 'BROOKLINE','MA'
252,'1:47:54','8:14',42,'20-39',37,'F',25,'AMALIA', 'KASICA', 'CRANSTON','RI'
253,'1:48:08','8:15',8,'40-49',43,'F',126,'INA', 'KONON', 'BRIGHTON','MA'
254,'1:48:11','8:15',4,'01-19',17,'M',297,'NAPOLEON', 'FUJII', 'BROOKLINE','MA'
255,'1:48:17','8:16',109,'20-39',38,'M',70,'GABRIEL', 'CHANADY', 'NORHT PROV','RI'
256,'1:48:18','8:16',43,'20-39',33,'F',311,'ROXIE', 'PHILLIPS', 'MCLEAN','VA'
257,'1:48:20','8:16',73,'40-49',41,'M',312,'EARNEST', 'NADOFF', 'MIAMI','FL'
258,'1:48:25','8:17',110,'20-39',21,'M',387,'JACQUES', 'PETRAIN', 'WESTPORT','MA'
259,'1:48:30','8:17',17,'50-59',55,'M',30,'LEIF', 'BIELE', 'PEACEDALE','RI'
260,'1:48:35','8:17',74,'40-49',48,'M',107,'EFREN', 'BARNETTE', 'ST CHARLES','MO'
261,'1:48:39','8:18',75,'40-49',44,'M',271,'JOHNATHAN', 'MAJESKE', 'PLAINVILLE','MA'
262,'1:48:49','8:18',76,'40-49',41,'M',6,'LAMAR', 'DELIRA', 'MEDFORD','MA'
263,'1:48:56','8:19',44,'20-39',25,'F',314,'JENNIE', 'HAUTAMAKI', 'CHARLOTTE','NC'
264,'1:49:06','8:20',45,'20-39',29,'F',44,'SOLANGE', 'FINCHAM', 'SEEKONK','MA'
265,'1:49:09','8:20',111,'20-39',35,'M',406,'EMMANUEL', 'VACEK', 'POMFRET','CT'
266,'1:49:12','8:20',18,'50-59',54,'M',184,'NORMAN', 'CRANDALL', 'EAST PROV','RI'
267,'1:49:18','8:21',112,'20-39',34,'M',190,'PAT', 'MELLOY', 'WARWICK','RI'
268,'1:49:47','8:23',9,'40-49',41,'F',5,'PAULINA', 'SCRO', 'SOUTH DEERFIELD','MA'
269,'1:49:52','8:23',46,'20-39',25,'F',386,'JOE', 'KENDRIX', 'SWANSEA','MA'
270,'1:49:57','8:24',113,'20-39',28,'M',483,'IKE', 'PALISBO', 'SAUNDERSTOWN','RI'
271,'1:50:00','8:24',114,'20-39',24,'M',470,'HORACIO', 'VELKY', 'CRANSTON','RI'
272,'1:50:04','8:24',115,'20-39',32,'M',303,'ABEL', 'VILLALUAZO', 'BRAINTREE','MA'
273,'1:50:08','8:24',77,'40-49',40,'M',466,'GREGORIO', 'PECHT', 'W DENNIS','MA'
274,'1:50:22','8:25',19,'50-59',50,'M',120,'MERLIN', 'DECIO', 'NEW MILFORD','CT'
275,'1:50:27','8:26',47,'20-39',32,'F',471,'AUDREA', 'HIATT', 'NEW BEDFORD','MA'
276,'1:50:33','8:26',78,'40-49',49,'M',444,'JAY', 'GUDERIAN', 'WARREN','RI'
277,'1:50:36','8:27',48,'20-39',37,'F',278,'JOLANDA', 'BALDWYN', 'WASHINGTON','DC'
278,'1:50:57','8:28',116,'20-39',39,'M',189,'ALEXANDER', 'SCHARPMAN', 'E PROVIDENCE','RI'
279,'1:50:58','8:28',2,'50-59',50,'F',87,'MIKAELA', 'MCKEARIN', 'WRENTHAM','MA'
280,'1:51:00','8:28',117,'20-39',27,'M',85,'MAJOR', 'ROESSER', 'GLOCESTER','RI'
281,'1:51:03','8:29',118,'20-39',37,'M',438,'MERRILL', 'GALATI', 'WESTPORT','MA'
282,'1:51:23','8:30',10,'40-49',42,'F',41,'MARGARETTE', 'PASZKIEWICZ', 'N SCITUATE','RI'
283,'1:51:37','8:31',119,'20-39',39,'M',180,'JACQUES', 'KOERPER', 'LINCOLN','RI'
284,'1:51:50','8:32',20,'50-59',50,'M',279,'SHON', 'OPAL', 'HALIFAX','MA'
285,'1:51:53','8:32',120,'20-39',36,'M',433,'MILTON', 'SUSMAN', 'S BOSTON','MA'
286,'1:51:57','8:33',79,'40-49',41,'M',253,'ROSENDO', 'VANSCHOIACK', 'PORTSMOUTH','RI'
287,'1:52:00','8:33',11,'40-49',48,'F',241,'WILLA', 'LIFSEY', 'W LEBANON','NH'
288,'1:52:14','8:34',121,'20-39',22,'M',468,'KEN', 'HAEDER', 'KINGSTON','RI'
289,'1:52:20','8:35',122,'20-39',21,'M',472,'MYLES', 'KRZESINSKI', 'SEEKONK','MA'
290,'1:52:26','8:35',123,'20-39',38,'M',492,'WILLIE', 'STONEFIELD', 'WICKFORD','RI'
291,'1:52:29','8:35',80,'40-49',45,'M',43,'DUNCAN', 'LAMAACK', 'LAKEVILLE','CT'
292,'1:52:34','8:36',3,'60-98',65,'M',33,'JARROD', 'ASKAM', 'BURLINGTON','MA'
293,'1:52:36','8:36',81,'40-49',49,'M',131,'ERICH', 'TEDESKO', 'GREENWICH','RI'
294,'1:52:38','8:36',49,'20-39',31,'F',363,'BETSEY', 'KLAVUHN', 'SOUTHBORO','MA'
295,'1:52:41','8:36',21,'50-59',51,'M',95,'LOREN', 'GINDER', 'LINCOLN','RI'
296,'1:52:42','8:36',124,'20-39',35,'M',459,'MICAH', 'BIGSBY', 'EVANSVILLE','IN'
297,'1:52:44','8:36',125,'20-39',39,'M',310,'LUCIEN', 'LAINSON', 'NORHT PROV','RI'
298,'1:52:47','8:37',50,'20-39',29,'F',309,'CONCEPTION', 'BOAN', 'PAWTUCKET','RI'
299,'1:52:54','8:37',22,'50-59',51,'M',140,'VITO', 'SCHONINGER', 'RICHMOND','RI'
300,'1:53:02','8:38',51,'20-39',29,'F',108,'OLIVIA', 'FAISCA', 'WEARE','NH'
301,'1:53:07','8:38',126,'20-39',23,'M',384,'TRAVIS', 'STRED', 'S BOSTON','MA'
302,'1:53:10','8:38',52,'20-39',39,'F',319,'ROSANNE', 'VANHORNE', 'PAWT','RI'
303,'1:53:14','8:39',82,'40-49',46,'M',222,'GALEN', 'HORSTMAN', 'WEARE','NH'
304,'1:53:15','8:39',127,'20-39',35,'M',198,'MORTON', 'LAWMAN', 'ASSONET','MA'
305,'1:53:16','8:39',23,'50-59',57,'M',482,'JONAH', 'DIVELBISS', 'CANTON','RI'
306,'1:53:17','8:39',128,'20-39',35,'M',351,'OMAR', 'TURRENTINE', 'E GREENWICH','RI'
307,'1:53:18','8:39',129,'20-39',32,'M',473,'TIMOTHY', 'BENAFIELD', 'FOSTER','RI'
308,'1:53:19','8:39',53,'20-39',37,'F',68,'KARRIE', 'VEALE', 'PAWTUCKET','RI'
309,'1:53:22','8:39',83,'40-49',49,'M',379,'SUNG', 'RITZKE', 'QUNICY','MA'
310,'1:53:25','8:39',84,'40-49',46,'M',377,'JAYSON', 'MORAN', 'WESTWOOD','MA'
311,'1:53:26','8:40',85,'40-49',44,'M',329,'ANDRE', 'CARLEN', 'S BOSTON','MA'
312,'1:53:28','8:40',86,'40-49',45,'M',136,'WHITNEY', 'CAIRO', 'ST CHARLES','MO'
313,'1:53:47','8:41',130,'20-39',39,'M',178,'KIP', 'CREMONA', 'NORWICH','CT'
314,'1:53:52','8:42',24,'50-59',52,'M',445,'MORTON', 'KALMBACH', 'PASCOAG','RI'
315,'1:53:59','8:42',87,'40-49',47,'M',219,'ISIDRO', 'SEARCY', 'W KINGTON','RI'
316,'1:54:09','8:43',131,'20-39',26,'M',210,'CHI', 'SPITZER', 'BROOKLINE','MA'
317,'1:54:12','8:43',132,'20-39',31,'M',115,'HERSCHEL', 'WEINZIERL', 'SMITHFIELD','RI'
318,'1:54:14','8:43',54,'20-39',25,'F',317,'ANGELA', 'GABLE', 'PLAINVILLE','MA'
319,'1:54:24','8:44',55,'20-39',34,'F',375,'WILLETTE', 'FRONCE', 'NPT','RI'
320,'1:54:26','8:44',56,'20-39',34,'F',487,'TERRILYN', 'UEDA', 'HOLLAND','PA'
321,'1:54:28','8:44',57,'20-39',21,'F',474,'JOETTE', 'CHANCELLOR', 'QUINCY','MA'
322,'1:54:34','8:45',88,'40-49',43,'M',404,'OMAR', 'BODRICK', 'CHARLESTOWN','MA'
323,'1:54:41','8:45',58,'20-39',34,'F',481,'DYAN', 'SHADDUCK', 'WEST WARWICK','RI'
324,'1:54:45','8:46',59,'20-39',24,'F',40,'CARLOTTA', 'CAHOON', 'HOLLAND','PA'
325,'1:54:46','8:46',133,'20-39',32,'M',27,'BOYD', 'SCHERER', 'TIVERTON','RI'
326,'1:54:55','8:46',134,'20-39',33,'M',292,'PORFIRIO', 'STOECKLIN', 'DAVIDSON','NC'
327,'1:54:56','8:46',4,'60-98',62,'M',103,'BRENDAN', 'MARUCO', 'PROVIDNCE','RI'
328,'1:55:00','8:47',89,'40-49',43,'M',238,'CAMERON', 'DASO', 'BELMONT','MA'
329,'1:55:32','8:49',135,'20-39',28,'M',419,'LEIGH', 'WENNERSTEN', 'WICKFORD','RI'
330,'1:55:59','8:51',60,'20-39',26,'F',441,'LEANNA', 'PRATTEN', 'LOWELL','MA'
331,'1:56:10','8:52',90,'40-49',41,'M',4,'LAMAR', 'NEHME', 'EAST PROV','RI'
332,'1:56:14','8:52',61,'20-39',33,'F',39,'GUDRUN', 'COHRAN', 'N PROV','RI'
333,'1:56:19','8:53',12,'40-49',42,'F',94,'LUBA', 'PIN', 'QUINCY','MA'
334,'1:56:25','8:53',91,'40-49',44,'M',20,'CARMEN', 'KNEELAND', 'PAWTUCKET','RI'
335,'1:56:31','8:54',62,'20-39',32,'F',38,'TERESE', 'YUNES', 'NEW BEDFORD','MA'
336,'1:56:52','8:55',92,'40-49',46,'M',388,'DANNIE', 'GREENWELL', 'NATICK','MA'
337,'1:56:54','8:55',25,'50-59',57,'M',354,'ALPHONSO', 'THIERRY', 'SMITHFIELD','RI'
338,'1:56:55','8:55',136,'20-39',36,'M',204,'AHMED', 'BULTER', 'W YARMOUTH','MA'
339,'1:56:56','8:56',13,'40-49',46,'F',440,'JOLYN', 'REHSE', 'W YARM','MA'
340,'1:56:59','8:56',93,'40-49',40,'M',413,'JAVIER', 'KINABREW', 'PAWTUCKET','RI'
341,'1:57:05','8:56',63,'20-39',29,'F',349,'CHUNG', 'BASHIR', 'ALLSTON','MA'
342,'1:57:06','8:56',94,'40-49',43,'M',227,'TREVOR', 'PULLIAM', 'SOUTHBORO','MA'
343,'1:57:08','8:56',64,'20-39',35,'F',455,'JANITA', 'ANDOH', 'NORHT PROV','RI'
344,'1:57:10','8:57',137,'20-39',35,'M',456,'SAL', 'MAURAS', 'LAKEVILLE','MA'
345,'1:57:24','8:58',65,'20-39',29,'F',429,'LELAH', 'KOKOCINSKI', 'CRANSTON','RI'
346,'1:57:29','8:58',138,'20-39',31,'M',428,'PHILLIP', 'SEVIER', 'ASSONET','MA'
347,'1:57:36','8:59',66,'20-39',35,'F',299,'TRINITY', 'SCHNAKENBERG', 'BRISTOL','RI'
348,'1:57:38','8:59',26,'50-59',52,'M',36,'EDDY', 'BARLOW', 'WEST WARWICK','RI'
349,'1:57:40','8:59',139,'20-39',30,'M',430,'DIRK', 'LURRY', 'BRAINTREE','MA'
350,'1:57:42','8:59',140,'20-39',39,'M',408,'MAXWELL', 'HEMRIC', 'RICHMOND','RI'
351,'1:57:43','8:59',67,'20-39',37,'F',371,'KELSEY', 'HOGLAND', 'WICKFORD','RI'
352,'1:57:50','9:00',68,'20-39',30,'F',246,'JESSIE', 'BLATZ', 'WRENTHAM','MA'
353,'1:58:00','9:00',14,'40-49',43,'F',288,'ARVILLA', 'ZAVATSON', 'FAIRHAVEN','MA'
354,'1:58:09','9:01',141,'20-39',38,'M',479,'DARIN', 'SUAZO', 'NEWTON','MA'
355,'1:58:10','9:01',142,'20-39',38,'M',150,'WILLY', 'MCNELLIE', 'JOHNSTON','RI'
356,'1:58:11','9:01',69,'20-39',31,'F',327,'ARICA', 'CALDARONE', 'HOPE','RI'
357,'1:58:16','9:02',70,'20-39',31,'F',357,'KINDRA', 'GAVE', 'FALL RIVER','MA'
358,'1:58:37','9:03',71,'20-39',39,'F',370,'NICHOLLE', 'VANDEVSEN', 'EAST PROV','RI'
359,'1:59:12','9:06',95,'40-49',49,'M',91,'KENT', 'MANTEUFFEL', 'W LEB','NH'
360,'1:59:14','9:06',27,'50-59',56,'M',31,'AUGUST', 'RESPICIO', 'BERKLEY','MA'
361,'1:59:42','9:08',72,'20-39',36,'F',161,'MYRTLE', 'WOHNER', 'ESSEX','CT'
362,'2:00:00','9:10',73,'20-39',31,'F',289,'MARIO', 'BUFFORD', 'PASCOAG','RI'
363,'2:00:04','9:10',96,'40-49',46,'M',426,'WALDO', 'ARLIA', 'SOMERVILLE','MA'
364,'2:00:07','9:10',74,'20-39',21,'F',260,'JANET', 'HILK', 'N SCITUATE','RI'
365,'2:00:10','9:10',75,'20-39',32,'F',201,'MARILYNN', 'MCCANDLISH', 'CAMB','MA'
366,'2:00:12','9:11',76,'20-39',32,'F',216,'ASHA', 'HALLA', 'STOUGHTON','MA'
367,'2:00:13','9:11',143,'20-39',38,'M',160,'FORREST', 'NAZARIAN', 'PASCOAG','RI'
368,'2:00:14','9:11',77,'20-39',28,'F',149,'ALLEGRA', 'SHONE', 'WAKEFIELD','RI'
369,'2:00:16','9:11',5,'60-98',60,'M',435,'AUGUSTUS', 'VANDAL', 'W NEWTON','MA'
370,'2:00:19','9:11',97,'40-49',47,'M',326,'ARNULFO', 'RYEN', 'BERKLEY','MA'
371,'2:00:22','9:11',98,'40-49',45,'M',62,'BILLY', 'HADNOTT', 'KINGSTOWN','RI'
372,'2:00:23','9:11',99,'40-49',43,'M',409,'OSCAR', 'SARZYNSKI', 'E GREENVILLE','MA'
373,'2:00:24','9:11',3,'50-59',51,'F',259,'RASHEEDA', 'BOEHLER', 'W LEB','NH'
374,'2:00:27','9:12',28,'50-59',52,'M',32,'JACKSON', 'ZUCKERMAN', 'PASCOAG','RI'
375,'2:00:41','9:13',78,'20-39',27,'F',117,'ESTRELLA', 'ORGERON', 'FAIRHAVEN','MA'
376,'2:00:02','9:10',15,'40-49',43,'F',183,'ALISIA', 'WALKINSHAW', 'STOUGHTON','MA'
377,'2:00:03','9:10',16,'40-49',44,'F',313,'VANNA', 'MATEJEK', 'ARLINGTON','MA'
378,'2:00:04','9:10',79,'20-39',35,'F',170,'TORRIE', 'HEIMRICH', 'DAVIDSON','NC'
379,'2:00:07','9:10',144,'20-39',38,'M',223,'CLYDE', 'KAFTON', 'QUECHEL','VT'
380,'2:00:11','9:10',100,'40-49',48,'M',77,'BERNARD', 'ZMIJEWSKI', 'EAST PROV','RI'
381,'2:00:13','9:11',145,'20-39',29,'M',116,'HOLLIS', 'TORMA', 'W WARWICK','RI'
382,'2:02:18','9:20',80,'20-39',31,'F',74,'NANCIE', 'JOOR', 'PAWT','RI'
383,'2:02:30','9:21',101,'40-49',41,'M',21,'DONOVAN', 'BAGNALL', 'FOSTER','RI'
384,'2:02:45','9:22',81,'20-39',33,'F',63,'GENE', 'MENDILLO', 'W WARWICK','RI'
385,'2:03:14','9:24',82,'20-39',31,'F',137,'SHANI', 'STIEHM', 'SOUTHBORO','MA'
386,'2:03:15','9:25',83,'20-39',27,'F',129,'MARGENE', 'MELING', 'BROOKLINE','MA'
387,'2:03:31','9:26',84,'20-39',27,'F',353,'ERNESTINE', 'DERSCH', 'ARLINGTON','MA'
388,'2:03:48','9:27',85,'20-39',34,'F',486,'RONNI', 'MOTTOLA', 'QUNICY','MA'
389,'2:03:59','9:28',86,'20-39',35,'F',485,'BARABARA', 'POLYCARPE', 'BELMONT','MA'
390,'2:04:02','9:28',1,'01-19',18,'F',154,'JOELLA', 'ARBOLIDA', 'PROVIDNCE','RI'
391,'2:04:06','9:28',87,'20-39',34,'F',487,'ADRIAN', 'BACHMAN', 'HIGGANUM','CT'
392,'2:04:13','9:29',17,'40-49',46,'F',9,'SHENA', 'OHLENSEHLEN', 'NORTHFORD','CT'
393,'2:04:14','9:29',88,'20-39',33,'F',53,'DOMENICA', 'RENOUF', 'PLYMOUTH','MA'
394,'2:04:15','9:29',29,'50-59',58,'M',122,'KIRK', 'DESAUTELLE', 'GREENWICH','RI'
395,'2:04:32','9:30',89,'20-39',37,'F',174,'ALBA', 'ALFORD', 'PROVIDNCE','RI'
396,'2:04:34','9:31',90,'20-39',37,'F',153,'LEZLIE', 'MURAKAMI', 'RICHMOND','RI'
397,'2:04:35','9:31',146,'20-39',39,'M',143,'MERLE', 'GONNEVILLE', 'CAROLINA','RI'
398,'2:04:37','9:31',18,'40-49',42,'F',432,'TRINH', 'SOQUI', 'STONINGTON','CT'
399,'2:04:46','9:31',30,'50-59',52,'M',75,'BILL', 'VENINGA', 'COVENTRY','RI'
400,'2:04:48','9:32',19,'40-49',40,'F',171,'SYLVIE', 'LAABS', 'GREENVILLE','RI'
401,'2:04:51','9:32',20,'40-49',46,'F',277,'SUMMER', 'LAGERGREN', 'ESSEX','CT'
402,'2:04:56','9:32',102,'40-49',42,'M',144,'DON', 'TANWEER', 'ST CHARLES','MO'
403,'2:04:59','9:32',103,'40-49',42,'M',172,'COLTON', 'FRIZELL', 'W YARMOUTH','MA'
404,'2:05:06','9:33',91,'20-39',36,'F',250,'LOUELLA', 'NEDVED', 'TIVERTON','RI'
405,'2:05:15','9:34',6,'60-98',74,'M',139,'PORTER', 'KIKUCHI', 'NARRAGANSETT','RI'
406,'2:05:21','9:34',7,'60-98',61,'M',156,'NOLAN', 'DUROSEAU', 'WARWICK','RI'
407,'2:05:27','9:35',92,'20-39',31,'F',243,'EUSTOLIA', 'STEGEMAN', 'GREENWICH','RI'
408,'2:05:32','9:35',93,'20-39',35,'F',452,'AFTON', 'MERKT', 'W YARMOUTH','MA'
409,'2:05:48','9:36',94,'20-39',22,'F',12,'DAVINA', 'EHSAN', 'JOHNSTON','RI'
410,'2:06:05','9:37',95,'20-39',22,'F',290,'PAOLA', 'CARTIER', 'DAVIDSON','NC'
411,'2:06:09','9:38',96,'20-39',29,'F',385,'TORA', 'PARZIALE', 'DAVIDSON','NC'
412,'2:06:42','9:40',31,'50-59',51,'M',28,'KURTIS', 'CRUTCHEV', 'WESTWOOD','MA'
413,'2:06:53','9:41',97,'20-39',35,'F',424,'BLANCH', 'SCHWABAUER', 'WARWICK','RI'
414,'2:06:54','9:41',32,'50-59',54,'M',372,'FLETCHER', 'DUTEAU', 'STONINGTON','CT'
415,'2:07:27','9:44',104,'40-49',43,'M',403,'ELVIN', 'BELLOW', 'HAMDEN','CT'
416,'2:07:36','9:44',105,'40-49',48,'M',104,'ELISHA', 'PETROFF', 'BROOKLINE','MA'
417,'2:07:37','9:45',21,'40-49',44,'F',436,'ETHELENE', 'PACAPAC', 'CUMB','RI'
418,'2:07:38','9:45',106,'40-49',43,'M',465,'STACY', 'RAMIEZ', 'WEYMOUTH','MA'
419,'2:07:49','9:45',98,'20-39',38,'F',196,'TENNILLE', 'PEROUTKA', 'CANTON','RI'
420,'2:08:08','9:47',147,'20-39',30,'M',331,'DORSEY', 'KERBER', 'PASCOAG','RI'
421,'2:08:11','9:47',99,'20-39',35,'F',191,'DELINDA', 'KRAVETSKY', 'PASCOAG','RI'
422,'2:08:21','9:48',100,'20-39',37,'F',427,'TOSHIKO', 'UNAVAILABLE', 'CUMBERLAND','RI'
423,'2:09:14','9:52',148,'20-39',35,'M',102,'GARLAND', 'WASSEL', 'STOUGHTON','MA'
424,'2:09:22','9:53',22,'40-49',43,'F',3,'TAMMIE', 'VAINIO', 'PAWTUCKET','RI'
425,'2:09:23','9:53',33,'50-59',50,'M',165,'JOSHUA', 'FRIEDLAND', 'BURLINGTON','MA'
426,'2:09:45','9:54',149,'20-39',38,'M',8,'ARON', 'RAGER', 'CHARLESTOWN','MA'
427,'2:09:54','9:55',101,'20-39',25,'F',106,'CAROLYN', 'BALLOON', 'FOSTER','RI'
428,'2:10:05','9:56',150,'20-39',33,'M',328,'DWAIN', 'AMADO', 'LITTLE FERRY','NJ'
429,'2:10:09','9:56',107,'40-49',47,'M',207,'ALLAN', 'GERGEL', 'SCITUATE','RI'
430,'2:10:23','9:57',151,'20-39',34,'M',295,'RUSSELL', 'KUCHTA', 'NEPTUNE BEACH','FL'
431,'2:10:56','10:00',108,'40-49',49,'M',23,'DEAN', 'MITTLER', 'NORHT PROV','RI'
432,'2:11:02','10:00',102,'20-39',33,'F',224,'TANGELA', 'BROKS', 'SOUTHBORO','MA'
433,'2:11:31','10:02',103,'20-39',39,'F',330,'HYE', 'FRASCHILLA', 'RICHMOND','RI'
434,'2:11:33','10:03',104,'20-39',27,'F',188,'CARROL', 'MENDIETA', 'E PROVIDENCE','RI'
435,'2:12:17','10:06',109,'40-49',42,'M',1,'WILLIAMS', 'LAGRONE', 'NEW MILFORD','CT'
436,'2:13:10','10:10',110,'40-49',46,'M',261,'DENNY', 'SIEBEL', 'W NEWTON','MA'
437,'2:13:24','10:11',105,'20-39',30,'F',252,'NORIKO', 'LUDLUM', 'CRANSTON','RI'
438,'2:13:25','10:11',152,'20-39',34,'M',254,'ROGELIO', 'NIEVES', 'W KINGTON','RI'
439,'2:13:30','10:11',106,'20-39',38,'F',130,'POLLY', 'ERKELA', 'HALIFAX','MA'
440,'2:13:58','10:14',107,'20-39',35,'F',110,'MALINDA', 'BODLEY', 'N SMITHFIELD','RI'
441,'2:14:10','10:15',111,'40-49',42,'M',105,'SOL', 'FILIPPONI', 'RICHMOND','RI'
442,'2:15:37','10:21',112,'40-49',40,'M',14,'WAYLON', 'MENSINGER', 'JP','MA'
443,'2:15:44','10:22',108,'20-39',28,'F',98,'DEVIN', 'SCHUETZ', 'SOUTHBRIDGE','MA'
444,'2:15:46','10:22',109,'20-39',26,'F',112,'BRITTENY', 'GUMMO', 'BROOKLINE','MA'
445,'2:16:00','10:23',153,'20-39',32,'M',97,'JASPER', 'KAUCHER', 'POMFRET','CT'
446,'2:16:51','10:27',23,'40-49',44,'F',186,'GEORGIANNE', 'SCHOW', 'S BOSTON','MA'
447,'2:17:34','10:30',110,'20-39',23,'F',72,'KATHEY', 'CHURCHILL', 'HALIFAX','MA'
448,'2:18:27','10:34',34,'50-59',51,'M',142,'BARNEY', 'FAHRENTHOLD', 'CANTON','RI'
449,'2:19:10','10:37',111,'20-39',34,'F',141,'CECILLE', 'HIGHBAUGH', 'N KINGSTOWN','RI'
450,'2:20:54','10:45',112,'20-39',29,'F',57,'ANH', 'DONIEL', 'WARREN','RI'
451,'2:21:14','10:47',113,'40-49',44,'M',285,'NOE', 'WILTSE', 'CAROLINA','RI'
452,'2:22:11','10:51',1,'99-+',99,'F',22,'KEMBERLY', 'FRALIC', 'NPT','RI'
453,'2:22:39','10:53',24,'40-49',44,'F',179,'MARIANELA', 'GERMANA', 'EAST PROV','RI'
454,'2:23:49','10:59',154,'20-39',35,'M',343,'LINDSEY', 'MANGUAL', 'WRENTHAM','MA'
455,'2:24:09','11:00',155,'20-39',34,'M',169,'LACY', 'KAWAGUCHI', 'EAST PROV','RI'
456,'2:24:42','11:03',156,'20-39',35,'M',346,'MYLES', 'KOLBO', 'DEERFIELD','NH'
457,'2:25:56','11:08',25,'40-49',44,'F',59,'ELLIS', 'KOUTRAS', 'FAIRHAVEN','MA'
458,'2:27:23','11:15',35,'50-59',52,'M',203,'PIERRE', 'RESNICK', 'CRANSTON','RI'
459,'2:28:41','11:21',157,'20-39',25,'M',325,'TEDDY', 'LOMEDICO', 'CAMB','MA'
460,'2:33:43','11:44',113,'20-39',37,'F',294,'MILAGRO', 'HALALIKY', 'WEST WARWICK','RI'
461,'2:33:59','11:45',158,'20-39',31,'M',324,'MAX', 'MONTRELLA', 'LINCOLN','RI'
462,'2:37:23','12:01',26,'40-49',42,'F',17,'JANNIE', 'LATSHAW', 'QUNICY','MA'
463,'2:41:04','12:18',114,'20-39',34,'F',304,'FAIRY', 'BOHLSEN', 'CAMBRIDGE','MA'
